Specialty,Division,Success_Count,Success_Count_History,Success_Count_Diff,Base_Score,Base_Score_History,Base_Score_Diff,Avg_Score,Avg_Score_History,Avg_Score_Diff,Top_5_Destination_Regions,Top_5_Competitive_Regions,National_Points_Range,National_Points_Range_History,National_Points_Range_Diff,Special_Category_Rate,Special_Category_Rate_History,Special_Category_Rate_Diff,Active_Regions_Rate,Active_Regions_Rate_History,Active_Regions_Rate_Diff,Leaving_Count,Leaving_Count_History,Leaving_Count_Diff,Top_5_Targeting_1st,Avg_Score_Applicants,Avg_Score_Applicants_History,Avg_Score_Applicants_Diff,Average_Preference_Count,Average_Preference_Count_History,Average_Preference_Count_Diff,Points_Entrance_Gap,Points_Entrance_Gap_History,Points_Entrance_Gap_Diff,Odds_of_Transfer,Odds_of_Transfer_History,Odds_of_Transfer_Diff,Waiting_List_Absolute,Waiting_List_Absolute_History,Waiting_List_Absolute_Diff
ΠΕ88.02,Δευτεροβάθμια Γενικής,14,"{""2022"": 5, ""2023"": 11, ""2024"": 7, ""2025"": 7, ""2026"": 14}",7.0,30.64,"{""2022"": 90.76, ""2023"": 36.56, ""2024"": 17.2, ""2025"": 35.2, ""2026"": 30.64}",-4.56,58.12,"{""2022"": 112.95, ""2023"": 74.06, ""2024"": 56.58, ""2025"": 79.64, ""2026"": 58.12}",-21.52,"{""Α' ΕΥΒΟΙΑΣ"": 2, ""ΛΑΡΙΣΑΣ"": 1, ""Α' ΑΘΗΝΑΣ"": 1, ""ΙΩΑΝΝΙΝΩΝ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1}","{""ΙΩΑΝΝΙΝΩΝ"": 108.13, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 71.15, ""ΘΕΣΠΡΩΤΙΑΣ"": 69.56, ""ΣΕΡΡΩΝ"": 68.94, ""Α' ΕΒΡΟΥ"": 66.71}",77.49,"{""2022"": 43.37, ""2023"": 101.94, ""2024"": 84.52, ""2025"": 127.6, ""2026"": 77.49}",-50.11,28.57,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 28.57}",28.57,16.67,"{""2022"": 6.41, ""2023"": 11.54, ""2024"": 8.97, ""2025"": 8.97, ""2026"": 16.67}",7.7,49,"{""2024"": 24, ""2025"": 29, ""2026"": 49}",20.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 9, ""ΛΑΡΙΣΑΣ"": 5, ""ΑΡΤΑΣ"": 2, ""ΙΩΑΝΝΙΝΩΝ"": 2, ""Α' ΑΘΗΝΑΣ"": 2}",62.18,"{""2024"": 66.1, ""2025"": 75.73, ""2026"": 62.18}",-13.55,2.67,"{""2024"": 3.07, ""2025"": 3.47, ""2026"": 2.67}",-0.8,-4.06,"{""2024"": -9.52, ""2025"": 3.91, ""2026"": -4.06}",-7.97,28.57,"{""2024"": 29.17, ""2025"": 24.14, ""2026"": 28.57}",4.43,35,"{""2024"": 17, ""2025"": 22, ""2026"": 35}",13.0
ΠΕ88.03,Δευτεροβάθμια Γενικής,0,"{""2022"": 1, ""2023"": 3, ""2024"": 5, ""2025"": 3, ""2026"": 0}",-3.0,37.48,"{""2022"": 102.5, ""2023"": 35.1, ""2024"": 24.1, ""2025"": 37.48}",13.38,59.5,"{""2022"": 102.5, ""2023"": 41.1, ""2024"": 46.96, ""2025"": 59.5}",12.54,{},"{""Β' ΑΘΗΝΑΣ"": 81.53, ""ΙΩΑΝΝΙΝΩΝ"": 37.48}",44.05,"{""2023"": 13.61, ""2024"": 44.24, ""2025"": 44.05}",-0.19,,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 20.0, ""2025"": 33.33}",,0.0,"{""2022"": 1.28, ""2023"": 3.85, ""2024"": 6.41, ""2025"": 3.85, ""2026"": 0.0}",-3.85,15,"{""2024"": 7, ""2025"": 10, ""2026"": 15}",5.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""ΛΑΡΙΣΑΣ"": 2, ""ΙΩΑΝΝΙΝΩΝ"": 2, ""ΦΘΙΩΤΙΔΑΣ"": 1, ""ΠΕΛΛΑΣ"": 1}",45.92,"{""2024"": 59.47, ""2025"": 64.65, ""2026"": 45.92}",-18.73,3.55,"{""2024"": 2.4, ""2025"": 2.0, ""2026"": 3.55}",1.55,-5.15,"{""2024"": -12.51, ""2025"": -5.15}",7.36,0.0,"{""2024"": 71.43, ""2025"": 30.0, ""2026"": 0.0}",-30.0,15,"{""2024"": 2, ""2025"": 7, ""2026"": 15}",8.0
ΠΕ88.04,Δευτεροβάθμια Γενικής,7,"{""2022"": 1, ""2023"": 6, ""2024"": 2, ""2025"": 0, ""2026"": 7}",7.0,38.48,"{""2022"": 159.47, ""2023"": 31.64, ""2024"": 42.08, ""2026"": 38.48}",-3.6,72.82,"{""2022"": 159.47, ""2023"": 71.68, ""2024"": 42.94, ""2026"": 72.82}",29.88,"{""ΙΩΑΝΝΙΝΩΝ"": 1, ""ΑΧΑΙΑΣ"": 1, ""Α' ΠΕΙΡΑΙΑ"": 1, ""ΚΙΛΚΙΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1}","{""ΚΙΛΚΙΣ"": 118.05, ""ΧΑΝΙΩΝ"": 104.95, ""ΔΡΑΜΑΣ"": 69.96, ""ΙΩΑΝΝΙΝΩΝ"": 54.83, ""Α' ΠΕΙΡΑΙΑ"": 50.64}",79.57,"{""2023"": 94.36, ""2024"": 1.72, ""2026"": 79.57}",77.85,14.29,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2026"": 14.29}",,8.97,"{""2022"": 1.28, ""2023"": 7.69, ""2024"": 2.56, ""2025"": 0.0, ""2026"": 8.97}",8.97,26,"{""2024"": 3, ""2025"": 16, ""2026"": 26}",10.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""ΣΕΡΡΩΝ"": 2, ""Δ' ΑΘΗΝΑΣ"": 2, ""ΚΑΡΔΙΤΣΑΣ"": 2, ""Α' ΕΒΡΟΥ"": 1}",51.69,"{""2024"": 33.03, ""2025"": 49.03, ""2026"": 51.69}",2.66,3.33,"{""2024"": 3.33, ""2025"": 2.89, ""2026"": 3.33}",0.44,21.13,"{""2024"": 9.91, ""2026"": 21.13}",11.22,26.92,"{""2024"": 66.67, ""2025"": 0.0, ""2026"": 26.92}",26.92,19,"{""2024"": 1, ""2025"": 16, ""2026"": 19}",3.0
ΠΕ88.05,Δευτεροβάθμια Γενικής,7,"{""2022"": 0, ""2023"": 2, ""2024"": 0, ""2025"": 1, ""2026"": 7}",6.0,38.39,"{""2023"": 52.0, ""2025"": 57.4, ""2026"": 38.39}",-19.01,45.2,"{""2023"": 56.64, ""2025"": 57.4, ""2026"": 45.2}",-12.2,"{""ΠΙΕΡΙΑΣ"": 2, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""Α' ΚΑΒΑΛΑΣ"": 1, ""ΗΡΑΚΛΕΙΟΥ"": 1, ""ΙΩΑΝΝΙΝΩΝ"": 1}","{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 53.52, ""ΙΩΑΝΝΙΝΩΝ"": 47.45, ""ΠΙΕΡΙΑΣ"": 41.42, ""ΗΡΑΚΛΕΙΟΥ"": 38.39}",15.13,"{""2023"": 9.29, ""2026"": 15.13}",5.84,42.86,"{""2023"": 0.0, ""2025"": 0.0, ""2026"": 42.86}",42.86,7.69,"{""2022"": 0.0, ""2023"": 2.56, ""2024"": 0.0, ""2025"": 1.28, ""2026"": 7.69}",6.41,12,"{""2024"": 5, ""2025"": 11, ""2026"": 12}",1.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Β' ΑΘΗΝΑΣ"": 1, ""ΛΑΡΙΣΑΣ"": 1, ""ΠΙΕΡΙΑΣ"": 1}",51.57,"{""2024"": 110.11, ""2025"": 59.63, ""2026"": 51.57}",-8.06,3.86,"{""2024"": 1.0, ""2025"": 1.43, ""2026"": 3.86}",2.43,-6.37,"{""2025"": -2.23, ""2026"": -6.37}",-4.14,58.33,"{""2024"": 0.0, ""2025"": 9.09, ""2026"": 58.33}",49.24,5,"{""2024"": 5, ""2025"": 10, ""2026"": 5}",-5.0
ΠΕ89.01,Δευτεροβάθμια Γενικής,14,"{""2022"": 4, ""2023"": 12, ""2024"": 11, ""2025"": 11, ""2026"": 14}",3.0,20.24,"{""2022"": 69.97, ""2023"": 26.85, ""2024"": 15.15, ""2025"": 16.36, ""2026"": 20.24}",3.88,39.0,"{""2022"": 84.07, ""2023"": 54.61, ""2024"": 50.03, ""2025"": 43.76, ""2026"": 39.0}",-4.76,"{""ΜΕΣΣΗΝΙΑΣ"": 2, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 2, ""Β' ΑΘΗΝΑΣ"": 2, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΗΜΑΘΙΑΣ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 84.59, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 50.6, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 41.97, ""Β' ΑΘΗΝΑΣ"": 37.7, ""ΙΩΑΝΝΙΝΩΝ"": 33.82}",64.35,"{""2022"": 25.35, ""2023"": 46.66, ""2024"": 77.44, ""2025"": 47.38, ""2026"": 64.35}",16.97,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 9.09, ""2025"": 0.0, ""2026"": 0.0}",0.0,14.1,"{""2022"": 5.13, ""2023"": 12.82, ""2024"": 11.54, ""2025"": 7.69, ""2026"": 14.1}",6.41,40,"{""2024"": 19, ""2025"": 25, ""2026"": 40}",15.0,"{""Β' ΑΘΗΝΑΣ"": 5, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 4, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 4, ""Γ' ΑΘΗΝΑΣ"": 3, ""ΑΧΑΙΑΣ"": 3}",37.98,"{""2024"": 45.8, ""2025"": 38.68, ""2026"": 37.98}",-0.7,2.54,"{""2024"": 2.57, ""2025"": 2.56, ""2026"": 2.54}",-0.02,1.02,"{""2024"": 4.23, ""2025"": 5.08, ""2026"": 1.02}",-4.06,35.0,"{""2024"": 57.89, ""2025"": 44.0, ""2026"": 35.0}",-9.0,26,"{""2024"": 8, ""2025"": 14, ""2026"": 26}",12.0
ΠΕ89.02,Δευτεροβάθμια Γενικής,1,"{""2022"": 0, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}",0.0,50.05,"{""2023"": 36.82, ""2024"": 34.3, ""2025"": 50.05}",15.75,50.05,"{""2023"": 47.64, ""2024"": 34.3, ""2025"": 50.05}",15.75,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 50.05}",21.65,"{""2023"": 21.65}",,100.0,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 100.0}",100.0,1.28,"{""2022"": 0.0, ""2023"": 2.56, ""2024"": 1.28, ""2025"": 1.28, ""2026"": 1.28}",0.0,3,"{""2024"": 2, ""2025"": 2, ""2026"": 3}",1.0,"{""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""Α' ΛΕΣΒΟΥ"": 1}",51.77,"{""2024"": 55.38, ""2025"": 64.0, ""2026"": 51.77}",-12.23,5.0,"{""2024"": 1.0, ""2025"": 1.5, ""2026"": 5.0}",3.5,-13.95,"{""2024"": -21.08, ""2025"": -13.95}",7.13,33.33,"{""2024"": 50.0, ""2025"": 50.0, ""2026"": 33.33}",-16.67,2,"{""2024"": 1, ""2025"": 1, ""2026"": 2}",1.0
ΠΕ90,Δευτεροβάθμια Γενικής,6,"{""2022"": 0, ""2023"": 9, ""2024"": 14, ""2025"": 9, ""2026"": 6}",-3.0,20.74,"{""2023"": 24.58, ""2024"": 23.37, ""2025"": 16.78, ""2026"": 20.74}",3.96,32.54,"{""2023"": 61.44, ""2024"": 58.04, ""2025"": 47.29, ""2026"": 32.54}",-14.75,"{""ΧΑΛΚΙΔΙΚΗΣ"": 1, ""ΜΕΣΣΗΝΙΑΣ"": 1, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΛΑΡΙΣΑΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 62.73, ""ΜΕΣΣΗΝΙΑΣ"": 40.57, ""Α' ΚΑΒΑΛΑΣ"": 25.0, ""ΧΑΛΚΙΔΙΚΗΣ"": 25.0, ""Β' ΑΘΗΝΑΣ"": 21.23}",41.99,"{""2023"": 106.07, ""2024"": 154.33, ""2025"": 54.38, ""2026"": 41.99}",-12.39,0.0,"{""2023"": 0.0, ""2024"": 7.14, ""2025"": 22.22, ""2026"": 0.0}",-22.22,7.69,"{""2022"": 0.0, ""2023"": 8.97, ""2024"": 12.82, ""2025"": 10.26, ""2026"": 7.69}",-2.57,20,"{""2024"": 20, ""2025"": 17, ""2026"": 20}",3.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 4, ""ΣΕΡΡΩΝ"": 3, ""Α' ΠΕΙΡΑΙΑ"": 2, ""ΜΕΣΣΗΝΙΑΣ"": 2, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 1}",42.15,"{""2024"": 51.18, ""2025"": 53.88, ""2026"": 42.15}",-11.73,4.0,"{""2024"": 3.11, ""2025"": 3.11, ""2026"": 4.0}",0.89,-9.61,"{""2024"": 6.86, ""2025"": -6.59, ""2026"": -9.61}",-3.02,30.0,"{""2024"": 70.0, ""2025"": 52.94, ""2026"": 30.0}",-22.94,14,"{""2024"": 6, ""2025"": 8, ""2026"": 14}",6.0
ΠΕ91.01,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 1, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,"{""2024"": 100.0}",,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 8, ""2025"": 6, ""2026"": 2}",-4.0,"{""Α' ΑΘΗΝΑΣ"": 1, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",81.5,"{""2024"": 70.73, ""2025"": 72.36, ""2026"": 81.5}",9.14,2.0,"{""2024"": 2.0, ""2025"": 2.5, ""2026"": 2.0}",-0.5,,{},,0.0,"{""2024"": 12.5, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 7, ""2025"": 6, ""2026"": 2}",-4.0
ΠΕ91.02,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0,{},120.91,"{""2025"": 117.41, ""2026"": 120.91}",3.5,,{},,,{},,0.0,"{""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0
ΤΕ01.04,Δευτεροβάθμια Γενικής,2,"{""2022"": 0, ""2023"": 0, ""2024"": 1, ""2025"": 1, ""2026"": 2}",1.0,38.83,"{""2024"": 149.77, ""2025"": 118.5, ""2026"": 38.83}",-79.67,47.34,"{""2024"": 149.77, ""2025"": 118.5, ""2026"": 47.34}",-71.16,"{""Β' ΑΘΗΝΑΣ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}","{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 55.85, ""Β' ΑΘΗΝΑΣ"": 38.83}",17.02,"{""2026"": 17.02}",,0.0,"{""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,2.56,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 1.28, ""2026"": 2.56}",1.28,2,"{""2024"": 4, ""2025"": 1, ""2026"": 2}",1.0,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1}",41.34,"{""2024"": 119.99, ""2025"": 112.46, ""2026"": 41.34}",-71.12,7.0,"{""2024"": 1.5, ""2025"": 1.0, ""2026"": 7.0}",6.0,6.0,"{""2024"": 29.78, ""2025"": 6.04, ""2026"": 6.0}",-0.04,100.0,"{""2024"": 25.0, ""2025"": 100.0, ""2026"": 100.0}",0.0,0,"{""2024"": 3, ""2025"": 0, ""2026"": 0}",0.0
ΤΕ01.06,Δευτεροβάθμια Γενικής,2,"{""2022"": 1, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 2}",2.0,15.83,"{""2022"": 146.49, ""2026"": 15.83}",-130.66,15.83,"{""2022"": 146.49, ""2026"": 15.83}",-130.66,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΙΩΑΝΝΙΝΩΝ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 15.83}",,{},,50.0,"{""2022"": 0.0, ""2026"": 50.0}",,2.56,"{""2022"": 1.28, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 2.56}",2.56,3,"{""2024"": 2, ""2025"": 1, ""2026"": 3}",2.0,"{""ΦΛΩΡΙΝΑΣ"": 1, ""ΙΩΑΝΝΙΝΩΝ"": 1, ""ΑΧΑΙΑΣ"": 1}",70.17,"{""2024"": 128.61, ""2025"": 147.02, ""2026"": 70.17}",-76.85,4.0,"{""2026"": 4.0}",,-54.34,"{""2026"": -54.34}",,66.67,"{""2024"": 0.0, ""2025"": 0.0, ""2026"": 66.67}",66.67,1,"{""2024"": 2, ""2025"": 1, ""2026"": 1}",0.0
ΤΕ01.13,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 1, ""2025"": 1, ""2026"": 0}",-1.0,28.11,"{""2024"": 111.0, ""2025"": 28.11}",-82.89,28.11,"{""2024"": 111.0, ""2025"": 28.11}",-82.89,{},"{""Γ' ΑΘΗΝΑΣ"": 28.11}",,{},,,"{""2024"": 0.0, ""2025"": 0.0}",,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 1.28, ""2026"": 0.0}",-1.28,3,"{""2024"": 1, ""2025"": 3, ""2026"": 3}",0.0,"{""ΛΑΡΙΣΑΣ"": 1, ""ΦΛΩΡΙΝΑΣ"": 1, ""Β' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 1}",57.11,"{""2024"": 109.0, ""2025"": 44.29, ""2026"": 57.11}",12.82,1.33,"{""2025"": 6.0, ""2026"": 1.33}",-4.67,-16.18,"{""2024"": 2.0, ""2025"": -16.18}",-18.18,0.0,"{""2024"": 100.0, ""2025"": 33.33, ""2026"": 0.0}",-33.33,3,"{""2024"": 0, ""2025"": 2, ""2026"": 3}",1.0
ΤΕ01.19,Δευτεροβάθμια Γενικής,7,"{""2022"": 0, ""2023"": 1, ""2024"": 14, ""2025"": 10, ""2026"": 7}",-3.0,54.86,"{""2023"": 100.75, ""2024"": 45.42, ""2025"": 58.2, ""2026"": 54.86}",-3.34,69.86,"{""2023"": 100.75, ""2024"": 68.0, ""2025"": 74.94, ""2026"": 69.86}",-5.08,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""ΞΑΝΘΗΣ"": 1, ""Α' ΑΘΗΝΑΣ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""ΣΕΡΡΩΝ"": 1}","{""Α' ΑΘΗΝΑΣ"": 80.72, ""ΣΕΡΡΩΝ"": 80.56, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 71.27, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 66.35, ""ΞΑΝΘΗΣ"": 61.84}",25.86,"{""2024"": 48.73, ""2025"": 40.35, ""2026"": 25.86}",-14.49,0.0,"{""2023"": 0.0, ""2024"": 7.14, ""2025"": 20.0, ""2026"": 0.0}",-20.0,7.69,"{""2022"": 0.0, ""2023"": 1.28, ""2024"": 16.67, ""2025"": 12.82, ""2026"": 7.69}",-5.13,36,"{""2024"": 49, ""2025"": 45, ""2026"": 36}",-9.0,"{""ΑΧΑΙΑΣ"": 6, ""Α' ΚΑΒΑΛΑΣ"": 3, ""Β' ΑΘΗΝΑΣ"": 3, ""ΗΜΑΘΙΑΣ"": 3, ""Γ' ΑΘΗΝΑΣ"": 3}",63.01,"{""2024"": 63.79, ""2025"": 67.01, ""2026"": 63.01}",-4.0,3.71,"{""2024"": 4.97, ""2025"": 3.41, ""2026"": 3.71}",0.3,6.85,"{""2024"": 4.21, ""2025"": 7.93, ""2026"": 6.85}",-1.08,19.44,"{""2024"": 28.57, ""2025"": 22.22, ""2026"": 19.44}",-2.78,29,"{""2024"": 35, ""2025"": 35, ""2026"": 29}",-6.0
ΤΕ01.25,Δευτεροβάθμια Γενικής,1,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 1}",1.0,43.59,"{""2026"": 43.59}",,43.59,"{""2026"": 43.59}",,"{""Β' ΑΘΗΝΑΣ"": 1}","{""Β' ΑΘΗΝΑΣ"": 43.59}",,{},,0.0,"{""2026"": 0.0}",,1.28,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 1.28}",1.28,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0,"{""ΜΕΣΣΗΝΙΑΣ"": 1}",43.59,"{""2025"": 40.09, ""2026"": 43.59}",3.5,7.0,"{""2025"": 7.0, ""2026"": 7.0}",0.0,0.0,"{""2026"": 0.0}",,100.0,"{""2025"": 0.0, ""2026"": 100.0}",100.0,0,"{""2024"": 0, ""2025"": 1, ""2026"": 0}",-1.0
ΤΕ01.26,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 0, ""2025"": 0, ""2026"": 1}",1.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",110.68,"{""2026"": 110.68}",,,{},,,{},,0.0,"{""2026"": 0.0}",,1,"{""2024"": 0, ""2025"": 0, ""2026"": 1}",1.0
ΤΕ02.01,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 1, ""2025"": 0, ""2026"": 0}",0.0,15.32,"{""2024"": 15.32}",,15.32,"{""2024"": 15.32}",,{},"{""ΘΕΣΠΡΩΤΙΑΣ"": 15.32}",,{},,,"{""2024"": 0.0}",,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 3, ""2025"": 2, ""2026"": 1}",-1.0,"{""ΚΟΖΑΝΗΣ"": 1}",56.75,"{""2024"": 70.81, ""2025"": 94.46, ""2026"": 56.75}",-37.71,15.0,"{""2024"": 1.0, ""2025"": 15.0, ""2026"": 15.0}",0.0,-55.49,"{""2024"": -55.49}",,0.0,"{""2024"": 33.33, ""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 2, ""2025"": 2, ""2026"": 1}",-1.0
ΤΕ02.02,Δευτεροβάθμια Γενικής,4,"{""2022"": 0, ""2023"": 0, ""2024"": 7, ""2025"": 2, ""2026"": 4}",2.0,7.0,"{""2024"": 22.66, ""2025"": 25.91, ""2026"": 7.0}",-18.91,53.58,"{""2024"": 53.02, ""2025"": 33.28, ""2026"": 53.58}",20.3,"{""Δ' ΑΘΗΝΑΣ"": 1, ""ΚΟΖΑΝΗΣ"": 1, ""ΚΙΛΚΙΣ"": 1, ""ΠΕΛΛΑΣ"": 1}","{""Δ' ΑΘΗΝΑΣ"": 130.24, ""ΚΟΖΑΝΗΣ"": 43.69, ""ΚΙΛΚΙΣ"": 33.37, ""ΠΕΛΛΑΣ"": 7.0}",123.24,"{""2024"": 99.15, ""2025"": 14.73, ""2026"": 123.24}",108.51,0.0,"{""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,5.13,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 8.97, ""2025"": 2.56, ""2026"": 5.13}",2.57,11,"{""2024"": 7, ""2025"": 7, ""2026"": 11}",4.0,"{""ΚΟΖΑΝΗΣ"": 4, ""Δ' ΑΘΗΝΑΣ"": 2, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΛΑΡΙΣΑΣ"": 1}",41.94,"{""2024"": 59.24, ""2025"": 49.28, ""2026"": 41.94}",-7.34,5.57,"{""2024"": 6.67, ""2025"": 5.0, ""2026"": 5.57}",0.57,11.64,"{""2024"": -6.22, ""2025"": -16.0, ""2026"": 11.64}",27.64,36.36,"{""2024"": 100.0, ""2025"": 28.57, ""2026"": 36.36}",7.79,7,"{""2024"": 0, ""2025"": 5, ""2026"": 7}",2.0
ΤΕ16,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 1, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,"{""2024"": 100.0}",,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 3, ""2025"": 3, ""2026"": 2}",-1.0,"{""ΑΧΑΙΑΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1}",125.44,"{""2024"": 123.75, ""2025"": 110.09, ""2026"": 125.44}",15.35,1.0,"{""2024"": 1.0, ""2025"": 1.0, ""2026"": 1.0}",0.0,,{},,0.0,"{""2024"": 33.33, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 2, ""2025"": 3, ""2026"": 2}",-1.0
ΔΕ01.14,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
ΔΕ02.01,Δευτεροβάθμια Ειδικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,{},,{},,,{},,,{},,,{},,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0
